1	what similarity laws must be obeyed when constructing aeroelastic models of heated high speed aircraft .
3	what problems of heat conduction in composite slabs have been solved so far .
4	can a criterion be developed to show empirically the validity of flow solutions for chemically reacting gas mixtures based on the simplifying assumption of instantaneous local chemical equilibrium .
5	what chemical kinetic system is applicable to hypersonic aerodynamic problems .
10	are real-gas transport properties for air available over a wide range of enthalpies and densities .
11	is it possible to find an analytical,  similar solution of the strong blast wave problem in the newtonian approximation .
20	has anyone formally determined the influence of joule heating,  produced by the induced current,  in magnetohydrodynamic free convection flows under general conditions .
25	does a practical flow follow the theoretical concepts for the interaction between adjacent blade rows of a supersonic cascade .
29	what is the effect of cross sectional shape on the flow over simple delta wings with sharp leading edges .
47	what are the existing solutions for hypersonic viscous interactions over an insulated flat plate .
53	what investigations have been made of the flow field about a body moving through a rarefied,  partially ionized gas in the presence of a magnetic field .
58	is it possible to determine rates of forced convective heat transfer from heated cylinders of non-circular cross-section,  (the fluid flow being along the generators) .
74	how significant is the possible pressure of a dissociated free stream with respect to the realization of hypersonic simulation in high enthalpy wind tunnels .
86	can a satisfactory experimental technique be developed for measuring oscillatory derivatives on slender sting-mounted models in supersonic wind tunnels .
88	how does a satellite orbit contract under the action of air drag in an atmosphere in which the scale height varies with altitude .
89	how is the flow at transonic speeds about a delta wing different from that on a closely-related tapered sweptback wing .
92	given complete freedom in the design of an airplane,  what procedure would be used in order to minimize sonic boom intensity,  and is there a limit to the degree of minimizing that can be accomplished .
94	what is the theoretical heat transfer rate at the stagnation point of a blunt body .
100	what are the effects of initial imperfections on the elastic buckling of cylindrical shells under axial compression .
105	what is the effect of an internal liquid column on the breathing vibrations of a cylindrical shell .
120	are previous analyses of circumferential thermal buckling of circular cylindrical shells unnecessarily involved or even inaccurate due to the assumed forms of buckling mode .
128	has anyone programmed a pump design method for a high-speed digital computer .
137	have any analytical studies been conducted on the time-to-failure mechanism associated with creep collapse for a long circular cylindrical shell which exhibits both primary and secondary creep as well as elastic deformations under various distributed force systems .
138	has the effect of initial stresses,  on the frequencies of vibration of circular cylindrical shells,  been investigated .
139	has the effect of the change of initial pressure due to deformation,  on the frequencies of vibration of circular cylindrical shells been investigated .
147	what are the equations which define the stability of simply supported corrugated core sandwich cylinders .
157	have flow fields been calculated for blunt-nosed bodies and compared with experiment for a wide range of free stream conditions and body shapes .
159	what is the magnitude of aerodynamic damping in flexible vibration modes of a slender body of revolution characteristic of launch vehicles .
161	is there an integral method to give a single and sufficiently accurate method of calculating the laminar separate point for various incompressible and compressible boundary layers with zero heat transfer .
182	effects of leading-edge bluntness on the flutter characteristics of some square-planform double-wedge airfoils at mach numbers less than 15.4.
187	has anyone analytically or experimentally investigated the effects of internal pressure on the buckling of circular-cylindrical shells under bending .
198	is there any information available on the difference in the effects of various edge conditions on the buckling of cylindrical shells .
200	are asymptotic methods sufficiently accurate in the determination of pre-buckling stresses in torispherical shells,  or must we resort to numerical methods .
210	has anyone analytically investigated the stabilizing influence of soft elastic cores on the buckling strength of cylindrical shells subjected to non-uniform external pressure .
211	what papers are available on the buckling of empty cylindrical shells under non-uniform pressure .
212	what effect do thermal stresses have on the compressive buckling strength of ring-stiffened cylinders .
